Instrument,Operating Profit before Non-Recurring Income/Expense,Date
5083502779,-81.36753013235,2020-12-31T00:00:00Z
5083502787,,
5083502788,,
5083502789,,
5083502794,21035.1923541742,2020-12-31T00:00:00Z
5083502801,,
5083502809,2630.45712955001,2016-12-31T00:00:00Z
5083502809,11177.4230696336,2017-12-31T00:00:00Z
5083502809,10464.4779634902,2018-12-31T00:00:00Z
5083502809,,2019-12-31T00:00:00Z
5083502813,,
5083502814,33509.7873551421,2016-12-31T00:00:00Z
5083502814,43728.2550768228,2017-12-31T00:00:00Z
5083502814,55472.5688793185,2018-12-31T00:00:00Z
5083502814,57759.224529596,2019-12-31T00:00:00Z
5083502827,,2016-12-31T00:00:00Z
5083502827,,2017-12-31T00:00:00Z
5083502827,,2018-12-31T00:00:00Z
5083502827,,2019-12-31T00:00:00Z
5083502827,10571.11,2020-12-31T00:00:00Z
5083502830,,2017-12-31T00:00:00Z
5083502830,,2018-12-31T00:00:00Z
5083502830,,2019-12-31T00:00:00Z
5083502830,202207.38,2020-12-31T00:00:00Z
5083502833,,2017-12-31T00:00:00Z
5083502833,,2018-12-31T00:00:00Z
5083502833,,2019-12-31T00:00:00Z
5083502833,-67174.15,2020-12-31T00:00:00Z
5083502834,67917.12,2016-12-31T00:00:00Z
5083502834,62520.39,2017-12-31T00:00:00Z
5083502834,108329.1,2018-12-31T00:00:00Z
5083502834,2116.17,2019-12-31T00:00:00Z
5083502834,-398.66,2020-12-31T00:00:00Z
5083502835,,
5083502837,,
5083508083,,
5083509975,1063142.19225235,2018-12-31T00:00:00Z
5083509975,1702867.50984056,2019-12-31T00:00:00Z
5083509975,571827.090805948,2020-12-31T00:00:00Z
5083516875,,
5083516895,,
5083517742,,
5083527969,-1017.79279606498,2018-12-31T00:00:00Z
5083527969,-4433.02066278252,2019-12-31T00:00:00Z
5083527972,,
5083527973,,
5083533180,,
5083538358,,
5083567105,,
5083568102,,
5083568240,,
5083569442,,
5083570692,,
5083587887,,
5083595199,,
5083597502,,
5083601135,,
5083605643,,
5083609282,,
5083609798,,2017-12-31T00:00:00Z
5083609798,,2018-12-31T00:00:00Z
5083609798,27516.69,2019-12-31T00:00:00Z
5083609818,24.6,2017-12-31T00:00:00Z
5083609818,4.08,2018-12-31T00:00:00Z
5083609818,-344.39,2019-12-31T00:00:00Z
5083609818,-437.26,2020-12-31T00:00:00Z
5083610041,,
5083610350,,
5083611212,,
5083612564,,
5083613954,,
5083614809,,
5083615789,-2773.95,2016-12-31T00:00:00Z
5083615789,-94413.88,2017-12-31T00:00:00Z
5083615789,-64165.54,2018-12-31T00:00:00Z
5083615789,-140965.6,2019-12-31T00:00:00Z
5083615789,-252271.91,2020-12-31T00:00:00Z
5083615795,,
5083616149,18331.1873793118,2013-12-31T00:00:00Z
5083616149,9998.34623194255,2014-12-31T00:00:00Z
5083616149,28926.2183325278,2015-12-31T00:00:00Z
5083616217,,2017-12-31T00:00:00Z
5083616217,,2018-12-31T00:00:00Z
5083616217,-109533.19,2019-12-31T00:00:00Z
5083616531,,
5083616662,,
5083617241,,
5083617558,39317.35,2017-12-31T00:00:00Z
5083617558,-32159.57,2018-12-31T00:00:00Z
5083617558,-71017.44,2019-12-31T00:00:00Z
5083617558,328.04,2020-12-31T00:00:00Z
5083617561,,2017-12-31T00:00:00Z
5083617561,-14172.04,2018-12-31T00:00:00Z
5083617561,4759.77,2019-12-31T00:00:00Z
5083617632,-85538.23,2019-12-31T00:00:00Z
5083617632,-158743.01,2020-12-31T00:00:00Z
5083617658,-97545.37,2019-10-31T00:00:00Z
5083618424,,
5083618522,106397.1,2017-12-31T00:00:00Z
5083618522,-174097.71,2018-12-31T00:00:00Z
5083618522,90347.23,2019-12-31T00:00:00Z
5083618522,488470.45,2020-12-31T00:00:00Z
5083618556,-7772.21,2017-12-31T00:00:00Z
5083618556,-30382.56,2018-12-31T00:00:00Z
5083618556,-100346.12,2019-12-31T00:00:00Z
5083618625,,
5083618688,-166791.506352898,2016-12-31T00:00:00Z
5083618688,-216530.992707159,2017-12-31T00:00:00Z
5083618688,-241053.857303064,2018-12-31T00:00:00Z
5083618688,-62683.8802115768,2019-12-31T00:00:00Z
5083618992,,2017-12-31T00:00:00Z
5083618992,,2018-12-31T00:00:00Z
5083618992,-318963.53,2019-12-31T00:00:00Z
5083629795,,
5083683443,,
5083695051,,
5083698221,,
5083703160,,
5083703167,,
5083716838,,
5083717060,,
5083723630,,
4296726866,,
5057828103,,
5073157494,,
5073157496,,
4296125288,,
4297757507,,
5000118907,,
5000310370,,
5000329026,,
5000763390,,
5001438777,,
5001439741,,
5034758851,,
5035151418,,
5035414042,,
5035415039,,
5035415927,,
5036782611,,
5036784817,,
5037132079,,
5037268759,,
5037630941,,
5040951082,,
5040951196,,
5044252124,,
5055542025,,
5063321038,,
5063328814,,
5081961691,,
5081968757,,
5081969045,,
5081969047,,
5081969057,,
5083049579,,
5083049586,,
5083049587,,
5083049612,,
5083049614,,
5083049617,,
5083049627,,
5083049644,,
5083049646,,
5083049647,,
5083049651,,
5083049681,,
5083189388,,
5083189974,,
5083264057,,
5083265873,,
5083266981,,
5083285912,,
5083334010,,
5000967578,,
5040942351,,
5082821627,,
5082821628,,
5083293722,,
4295888255,510984.370666284,2004-12-31T00:00:00Z
4295888255,1116752.913633,2005-12-31T00:00:00Z
4295888255,2743523.33012163,2006-12-31T00:00:00Z
4295888255,57985514.4705335,2007-12-31T00:00:00Z
4295888255,133218.387883885,2008-12-31T00:00:00Z
4295888255,1907977.47220904,2009-12-31T00:00:00Z
4295888255,-30475833.9520199,2010-12-31T00:00:00Z
4295888262,,
4295888263,43210331.2290272,2004-12-31T00:00:00Z
4295888263,27052612.0454289,2005-12-31T00:00:00Z
4295888263,25535497.8964771,2006-12-31T00:00:00Z
4295888263,-13605957.7831041,2007-12-31T00:00:00Z
4295888263,-7855634.01685967,2008-12-31T00:00:00Z
4295888263,-100536885.25113,2009-12-31T00:00:00Z
4295888263,-181049259.564422,2010-12-31T00:00:00Z
4295888270,1058900.61732384,2004-12-31T00:00:00Z
4295888270,-1912735.87605496,2005-12-31T00:00:00Z
4295888270,7364753.88260075,2006-12-31T00:00:00Z
4295888270,14366603.2786065,2007-12-31T00:00:00Z
4295888270,-6869825.30096233,2008-12-31T00:00:00Z
4295888270,-6284537.52183795,2009-12-31T00:00:00Z
4295888271,1752070.42541445,2005-12-31T00:00:00Z
4295888271,-124623.615756509,2006-12-31T00:00:00Z
4295888271,-845930.96679853,2007-12-31T00:00:00Z
4295888271,-1548845.7816245,2008-12-31T00:00:00Z
4295888271,-1596609.36352905,2009-12-31T00:00:00Z
4295888271,-2602300.11937086,2010-12-31T00:00:00Z
4295888271,-1485641.02100871,2011-12-31T00:00:00Z
4295888271,-756161.345705579,2012-12-31T00:00:00Z
4295888271,-704005.94648692,2013-12-31T00:00:00Z
4295888271,-790367.544705529,2014-12-31T00:00:00Z
4295888271,-71047.1860069312,2015-12-31T00:00:00Z
4295888271,-735916.402876884,2016-12-31T00:00:00Z
4295888271,77974.9754333255,2017-12-31T00:00:00Z
4295888271,-807532.313869211,2018-12-31T00:00:00Z
4295888271,-657030.006591714,2019-12-31T00:00:00Z
4295888281,1744289.840117,2005-12-31T00:00:00Z
4295888281,1066004.62133409,2006-12-31T00:00:00Z
4295888281,154166022.71932,2007-12-31T00:00:00Z
4295888281,8634082.7299932,2008-12-31T00:00:00Z
4295888285,,
4295888290,6906914.51163367,2001-12-31T00:00:00Z
4295888290,10829224.5266385,2002-12-31T00:00:00Z
4295888290,13649638.0853014,2003-12-31T00:00:00Z
4295888290,14240144.5782314,2004-12-31T00:00:00Z
4295888290,17556625.8348454,2005-12-31T00:00:00Z
4295888290,40045263.9245893,2006-12-31T00:00:00Z
4295888290,74086826.0176534,2007-12-31T00:00:00Z
4295888291,-28442137.6359043,2004-12-31T00:00:00Z
4295888291,661474.406010305,2005-12-31T00:00:00Z
4295888291,12833191.1595584,2006-12-31T00:00:00Z
4295888291,36780859.070185,2007-12-31T00:00:00Z
4295888291,-163790809.128961,2008-12-31T00:00:00Z
4295888293,,
4295888294,814312.57356053,2004-12-31T00:00:00Z
4295888294,785371.656839187,2005-12-31T00:00:00Z
4295888294,798074.59675805,2006-12-31T00:00:00Z
4295888294,707105.057602173,2007-12-31T00:00:00Z
4295888294,984031.882370084,2008-12-31T00:00:00Z
4295888294,45326.9729003278,2009-12-31T00:00:00Z
4295888294,199158.898324865,2010-12-31T00:00:00Z
4295888294,445624.080988621,2011-12-31T00:00:00Z
4295888294,73260.2033029854,2012-12-31T00:00:00Z
4295888294,119275.87540527,2013-12-31T00:00:00Z
4295888294,226933.78314277,2014-12-31T00:00:00Z
4295888294,148483.068193079,2015-12-31T00:00:00Z
4295888294,-108537.156332871,2016-12-31T00:00:00Z
4295888294,-173900.016225824,2017-12-31T00:00:00Z
4295888294,-167864.008841365,2018-12-31T00:00:00Z
4295888294,-176308.273116834,2020-12-31T00:00:00Z
4295888306,35702832.3505087,2004-12-31T00:00:00Z
