Instrument,Total Assets,Date
5073666772,19035929.0986968,2019-12-31T00:00:00Z
5073666772,4452488.37127968,2020-12-31T00:00:00Z
5073666805,999571.694815192,2018-12-31T00:00:00Z
5073666805,1676501.4125581,2019-12-31T00:00:00Z
5073666805,2694832.06845498,2020-12-31T00:00:00Z
5073666812,16695336.1038119,2018-12-31T00:00:00Z
5073666812,14738562.8360521,2019-12-31T00:00:00Z
5073666812,12882523.6946106,2020-12-31T00:00:00Z
5073666943,212300.461875051,2018-12-31T00:00:00Z
5073666943,268386.038458033,2019-12-31T00:00:00Z
5073666943,320824.444211287,2020-12-31T00:00:00Z
5073667000,3592670.19343188,2018-12-31T00:00:00Z
5073667000,3592670.19343188,2018-12-31T00:00:00Z
5073667000,3335915.42877973,2019-12-31T00:00:00Z
5073667000,3194138.42548876,2020-12-31T00:00:00Z
5073671945,,
5073674941,39173573.9516665,2020-12-31T00:00:00Z
5074624637,1862336.45941878,2016-12-31T00:00:00Z
5074624637,2904837.33398319,2017-12-31T00:00:00Z
5074624637,5660921.20342181,2018-12-31T00:00:00Z
5074624637,12818405.4372282,2020-12-31T00:00:00Z
5074624637,12818405.4372282,2020-12-31T00:00:00Z
5074753805,16409760.7278873,2018-12-31T00:00:00Z
5074753805,16100314.4080926,2019-12-31T00:00:00Z
5074753805,22999568.6589958,2020-12-31T00:00:00Z
5074857483,667433.700902215,2019-12-31T00:00:00Z
5076086441,,
5076370506,3417.47926729245,2019-12-31T00:00:00Z
5076370506,819011646.207114,2020-12-31T00:00:00Z
5076942523,51642243.4395365,2020-12-31T00:00:00Z
5076950843,,2016-12-31T00:00:00Z
5076950843,2148897.28280736,2017-12-31T00:00:00Z
5076950843,2176364.71338741,2019-12-31T00:00:00Z
5076950843,2176364.71338741,2019-12-31T00:00:00Z
5076950843,3291131.86211077,2020-12-31T00:00:00Z
5078355367,3406275.32708116,2016-12-31T00:00:00Z
5078355367,7154136.71256245,2017-12-31T00:00:00Z
5078355367,6544734.74018081,2018-12-31T00:00:00Z
5078521479,,
5078521557,810.307106393323,2018-12-31T00:00:00Z
5078521557,22997353.6646499,2020-12-31T00:00:00Z
5078521557,22997353.6646499,2020-12-31T00:00:00Z
5078521579,8229942.00516281,2018-12-31T00:00:00Z
5078521579,75084228.0744704,2020-12-31T00:00:00Z
5078521726,7923734.24730995,2020-12-31T00:00:00Z
5078521726,7923734.24730995,2020-12-31T00:00:00Z
5079143312,,
5079219899,,
5079219912,,
5079219917,,
5079242370,487090.424916059,2016-12-31T00:00:00Z
5079242370,626538.320945534,2017-12-31T00:00:00Z
5079242370,660284.533552502,2018-12-31T00:00:00Z
5079242370,811081.746104074,2019-12-31T00:00:00Z
5079684218,1150404.57476241,2018-12-31T00:00:00Z
5079684218,1315501.68595644,2019-12-31T00:00:00Z
5079684218,825493.41913522,2020-12-31T00:00:00Z
5079897001,17879434.3603912,2020-12-31T00:00:00Z
5079901788,8778838.64349083,2020-12-31T00:00:00Z
5079905935,1832216.40063361,2017-12-31T00:00:00Z
5079905935,2473520.32134465,2018-12-31T00:00:00Z
5079905935,1764900.2096054,2019-12-31T00:00:00Z
5079906356,,
5079907959,,
5079909479,468671872.986417,2017-08-31T00:00:00Z
5079909479,4263397.80132667,2020-12-31T00:00:00Z
5080039973,,
5080201049,,
5081122035,89314.0002436944,2017-12-31T00:00:00Z
5081122035,16449830.3780646,2020-12-31T00:00:00Z
5081122035,16449830.3780646,2020-12-31T00:00:00Z
5081155179,154466.710966554,2020-12-31T00:00:00Z
5081169593,1466098.60566846,2019-12-31T00:00:00Z
5081169593,143141911.190385,2020-12-31T00:00:00Z
5081394732,,
5081406812,,
5081414354,1951566.78666929,2018-12-31T00:00:00Z
5081414354,2289711.10908594,2019-12-31T00:00:00Z
5081414354,2450250.06120379,2020-12-31T00:00:00Z
5081414396,2553509.20856147,2018-12-31T00:00:00Z
5081414396,2613004.6477718,2019-12-31T00:00:00Z
