Instrument,Sales per Employee,Date
5083307536,,
5083307671,,
5083307760,,
5083307761,,
5083307798,,
5083307983,,
5083308210,,
5083308245,,
5083308358,,
5083308374,,
5083308560,,
5083308644,,
5083308723,,2018-12-31T00:00:00Z
5083308723,364179.594799013,2019-12-31T00:00:00Z
5083308723,342405.679546573,2020-12-31T00:00:00Z
5083308734,,
5083308804,,
5083309057,,
5083309094,,
5083309126,,
5083309150,,
5083309157,,
5083309159,,2018-12-31T00:00:00Z
5083309159,,2019-12-31T00:00:00Z
5083309159,300651.369908803,2020-12-31T00:00:00Z
5083309224,,
5083309546,,
5083309624,,
5083309723,,
5083309770,,
5083309809,,
5083309828,,
5083309881,,
5083310035,,
5083310037,,
5083310055,,
5083310143,,
5083310154,,
5083310189,,
5083310341,,
5083310397,,
5083310412,,
5083310451,,
5083310497,,
5083310544,,
5083310701,,
5083310742,,
5083310757,,
5083310900,,2008-12-31T00:00:00Z
5083310900,,2009-12-31T00:00:00Z
5083310900,985212.302590478,2010-12-31T00:00:00Z
5083310900,1344107.01484678,2011-12-31T00:00:00Z
5083310900,1239190.45962729,2012-12-31T00:00:00Z
5083310900,1605677.52938629,2013-12-31T00:00:00Z
5083310900,378687.476041647,2014-12-31T00:00:00Z
5083310900,250063.173001605,2015-12-31T00:00:00Z
5083310900,340877.161945481,2016-12-31T00:00:00Z
5083310900,431195.902155312,2017-12-31T00:00:00Z
5083310900,372991.58408992,2018-12-31T00:00:00Z
5083310900,351707.376959078,2019-12-31T00:00:00Z
5083310900,842830.664622459,2020-12-31T00:00:00Z
5083310925,,
5083310954,,
5083310985,,
5083311002,,
5083311023,,
5083311032,,
5083311060,,
5083311085,,
5083311178,,
5083311208,,
5083311272,,2018-12-31T00:00:00Z
5083311272,,2019-12-31T00:00:00Z
5083311272,773936.519366967,2020-12-31T00:00:00Z
5083311463,,
5083311492,,
5083311508,,
5083311512,,
5083311536,,
5083311562,,
5083311570,,
5083311609,,
5083311633,,
5083311648,,
5083311670,,
5083311695,,
5083311711,,
5083311757,,
5083311802,,2018-12-31T00:00:00Z
5083311802,,2019-12-31T00:00:00Z
5083311802,1077595.67564419,2020-12-31T00:00:00Z
5083311827,,
5083311832,,
5083311861,,
5083311910,,
5083311988,,
5083312002,,
5083312053,,
5083312076,,
5083312081,,
5083312089,,
5083312136,,
5083312155,,
5083312156,,
5083312168,,
5083312212,,
5083312275,,
5083312297,,
5083312305,,
5083312354,,
5083312361,,2018-12-31T00:00:00Z
5083312361,,2019-12-31T00:00:00Z
5083312361,196559.086468835,2020-12-31T00:00:00Z
5083312389,,
5083312394,,
5083312408,,
5083312425,,
5083312441,,2016-12-31T00:00:00Z
5083312441,,2017-12-31T00:00:00Z
5083312441,,2018-12-31T00:00:00Z
5083312441,,2019-12-31T00:00:00Z
5083312441,297418.198440252,2020-12-31T00:00:00Z
5083312506,,
5083312536,,
5083312557,,
5083312589,,2017-12-31T00:00:00Z
5083312589,,2018-12-31T00:00:00Z
5083312589,213774.01176424,2019-12-31T00:00:00Z
5083312589,,2020-12-31T00:00:00Z
5083312701,,
5083312780,,
5083312799,,
5083312816,,
5083312845,,
5083312894,,2016-12-31T00:00:00Z
5083312894,,2017-12-31T00:00:00Z
5083312894,214939.349824845,2018-12-31T00:00:00Z
5083312919,,
5083312981,,
5083312997,,
5083313055,,2015-12-31T00:00:00Z
5083313055,,2016-12-31T00:00:00Z
5083313055,215229.056778225,2017-12-31T00:00:00Z
5083313055,152737.718983077,2018-12-31T00:00:00Z
5083313055,147284.186932721,2019-12-31T00:00:00Z
5083313055,198685.717150282,2020-12-31T00:00:00Z
5083313148,,
5083313152,,
5083313187,,
5083313219,,
5083313224,,
5083313246,,
5083313283,,
5083313303,,
5083313312,,
5083313315,,
5083313340,,
5083313363,,
5083313427,,
5083313432,,
5083313457,,2016-12-31T00:00:00Z
5083313457,,2017-12-31T00:00:00Z
5083313457,154444.190373535,2018-12-31T00:00:00Z
5083313457,,2019-12-31T00:00:00Z
5083313457,,2020-12-31T00:00:00Z
5083313488,,
5083313523,,
5083313721,,
5083313724,,2008-12-31T00:00:00Z
5083313724,,2009-12-31T00:00:00Z
5083313724,107330.800297486,2010-12-31T00:00:00Z
5083313724,,2011-12-31T00:00:00Z
5083313724,,2012-12-31T00:00:00Z
5083313724,,2013-12-31T00:00:00Z
5083313724,,2014-12-31T00:00:00Z
5083313724,,2015-12-31T00:00:00Z
5083313724,,2016-12-31T00:00:00Z
5083313724,177721.682729728,2017-12-31T00:00:00Z
5083313724,,2018-12-31T00:00:00Z
5083313724,,2019-12-31T00:00:00Z
5083313724,165278.005569541,2020-12-31T00:00:00Z
5083313768,,
5083313780,,
5083323092,,
5083323748,,
5083323751,,
5083323868,,
5083324564,,
5083324711,,
5083324714,,
5083324739,,
5083324982,,
5083325038,,
5083325171,,2008-12-31T00:00:00Z
5083325171,,2009-12-31T00:00:00Z
5083325171,1270275.11996145,2010-12-31T00:00:00Z
5083325171,1085777.177732,2011-12-31T00:00:00Z
5083325171,1018357.55501431,2012-12-31T00:00:00Z
5083325171,985627.093722125,2013-12-31T00:00:00Z
5083325171,1151231.33784752,2014-12-31T00:00:00Z
5083325171,1076835.80606007,2015-12-31T00:00:00Z
5083325171,1006306.4257534,2016-12-31T00:00:00Z
5083325171,1101354.81015244,2017-12-31T00:00:00Z
5083325171,1191981.17976711,2018-12-31T00:00:00Z
5083325171,1245621.95504323,2019-12-31T00:00:00Z
5083325171,,2020-12-31T00:00:00Z
5083325353,,
5083325471,,
5083325706,,
5083325927,,
5083325957,,
5083326404,,
5083326432,,
5083326557,,
5083326927,,
5083326942,,
5083327008,,
5083327041,,
5083335599,,
5083337040,,
5083337851,,
5083337921,,
5083338108,,
5083338241,,
5083338270,,
5083338350,,
5083338529,,2015-12-31T00:00:00Z
5083338529,,2016-12-31T00:00:00Z
5083338529,61157.840505836,2017-12-31T00:00:00Z
5083338529,31027.4603205301,2018-12-31T00:00:00Z
5083338529,32343.8957311434,2019-12-31T00:00:00Z
5083338529,34322.5833092748,2020-12-31T00:00:00Z
5083338748,,
5083338909,,
5083339016,,
5083339134,,
5083339713,,
5083339724,,
5083339852,,
5083340034,,
5083340104,,2014-12-31T00:00:00Z
5083340104,,2015-12-31T00:00:00Z
5083340104,104015.941021992,2016-12-31T00:00:00Z
5083340104,89912.6402009638,2017-12-31T00:00:00Z
5083340104,70691.6425295141,2018-12-31T00:00:00Z
5083340104,66904.7902967694,2019-12-31T00:00:00Z
5083340104,60107.4656098527,2020-12-31T00:00:00Z
5083340212,,
5083340358,,
5083340391,,
5083340411,,
5083340413,,
5083340856,,
5083340857,,
5083340936,,
5083341011,,
5083341058,,
5083341380,,
5083341392,,
5083341407,,
5083341446,,
5083341476,,
5083341591,,2008-12-31T00:00:00Z
5083341591,,2009-12-31T00:00:00Z
5083341591,164372.44476067,2010-12-31T00:00:00Z
5083341591,165290.060053991,2011-12-31T00:00:00Z
5083341591,185234.945302751,2012-12-31T00:00:00Z
5083341591,206357.329828056,2013-12-31T00:00:00Z
5083341591,188574.161107786,2014-12-31T00:00:00Z
5083341591,155526.854475046,2015-12-31T00:00:00Z
5083341591,157728.999756172,2016-12-31T00:00:00Z
5083341591,188490.797903714,2017-12-31T00:00:00Z
5083341591,213759.434996329,2018-12-31T00:00:00Z
5083341591,221507.898720981,2019-12-31T00:00:00Z
5083341591,254088.399418746,2020-12-31T00:00:00Z
5083341643,,
5083341740,,
5083343609,,
5083343619,,
5083371252,,
5083375586,,
5083375603,,
5083375605,,2019-12-31T00:00:00Z
5083375605,500186.727157045,2020-12-31T00:00:00Z
5083375610,,
5083375629,,
5083375720,,
5083375741,,
5083375751,,
5083375763,,
5083375771,,
5083375777,,
5083375788,,
5083375791,,
5083375792,,
5083375799,,
5083375818,,
5083375827,,
5083375835,,
5083375850,,
5083375853,,
5083375863,,
5083375880,,
5083375890,,
5083375893,,
5083375898,,2019-12-31T00:00:00Z
5083375898,88590.5154238312,2020-12-31T00:00:00Z
5083375899,,
5083375907,,
5083375909,,
5083375919,,
5083375924,,
5083375931,,
5083375950,,
5083375958,,
5083375964,,
5083375972,,
5083375978,,
5083376008,,
5083376029,,
5083376051,,
5083376056,,
5083376088,,
5083376093,,
5083376107,,
5083376125,,
5083376130,,
5083376143,,
5083376156,,
5083376165,,
5083376175,,
5083376176,,
5083376180,,
5083376183,,
5083376198,,
5083376207,,
5083376216,,
5083376229,,
5083376263,,
5083376267,,
5083376273,,
5083376285,,2017-12-31T00:00:00Z
5083376285,,2018-12-31T00:00:00Z
5083376285,350165.74483171,2019-12-31T00:00:00Z
5083376285,415772.017634684,2020-12-31T00:00:00Z
5083376300,,
5083376305,,
5083376311,,
5083376317,,
5083376338,,
5083376349,,
5083376370,,2018-12-31T00:00:00Z
5083376370,,2019-12-31T00:00:00Z
5083376370,273112.938475071,2020-12-31T00:00:00Z
5083376378,,
5083376379,,
5083376390,,
5083376396,,
5083376408,,
5083376414,,
5083376416,,
5083376420,,
5083376434,,
5083376440,,
5083376446,,
5083376472,,
5083376473,,
5083376482,,
5083376487,,
5083376505,,
5083376508,,
5083376510,,
5083376541,,
5083376553,,
5083376565,,
5083376567,,
5083376573,,
5083376604,,
5083376605,,
5083376608,,
5083376643,,
5083376648,,
5083376660,,
5083376674,,
5083376702,,2018-12-31T00:00:00Z
5083376702,,2019-12-31T00:00:00Z
5083376702,1355716.02687642,2020-12-31T00:00:00Z
5083376714,,
5083376725,,
5083376727,,
5083376753,,
5083376765,,
5083376768,,
5083376772,,
5083376773,,
5083376774,,
5083376778,,2019-12-31T00:00:00Z
5083376778,809612.068568056,2020-12-31T00:00:00Z
5083376802,,
5083376814,,
5083376815,,
5083376816,,
5083376817,,
5083376819,,
5083376824,,
5083376841,,
5083376858,,
5083376865,,
5083376866,,
5083376872,,
5083376876,,
5083376879,,
5083376880,,
5083376885,,
5083376906,,
5083376914,,
5083376921,,
5083376923,,
5083376925,,
5083376929,,
5083376931,,
5083376934,,
5083376949,,
5083376954,,
5083376957,,
5083376961,,
5083376976,,
5083376982,,
5083376993,,
5083376999,,
5083377002,,
5083377020,,
5083377024,,
5083377029,,
5083377035,,
5083377050,,2018-12-31T00:00:00Z
5083377050,298215.779472116,2019-12-31T00:00:00Z
5083377050,262102.72252024,2020-12-31T00:00:00Z
5083377058,,
5083377062,,
5083377065,,
5083387067,,
5083398124,,
5083425431,,
5083425906,,
5083426091,,
5083426103,,
5083426111,,
5083426504,,
5083426580,,
5083426661,,
5083426702,,2009-12-31T00:00:00Z
5083426702,,2010-12-31T00:00:00Z
5083426702,422421.10869676,2011-12-31T00:00:00Z
5083426702,,2012-12-31T00:00:00Z
5083426702,,2013-12-31T00:00:00Z
5083426702,,2014-12-31T00:00:00Z
5083426702,,2015-12-31T00:00:00Z
5083426702,330927.398277009,2016-12-31T00:00:00Z
5083426702,320550.078155515,2017-12-31T00:00:00Z
5083426702,349829.80270696,2018-12-31T00:00:00Z
5083426702,,2019-12-31T00:00:00Z
5083426702,,2020-12-31T00:00:00Z
5083426792,,
5083426815,,
5083427070,,
5083427074,,
5083427460,,
5083427530,,
5083427790,,
5083427840,,
5083427995,,2016-12-31T00:00:00Z
5083427995,,2017-12-31T00:00:00Z
5083427995,542802.315851332,2018-12-31T00:00:00Z
5083427995,318497.7482244,2019-12-31T00:00:00Z
5083427995,274293.95471353,2020-12-31T00:00:00Z
5083428500,,
5083428515,,
5083428535,,
5083428919,,
5083428935,,
5083428990,,
5083429325,,2016-12-31T00:00:00Z
5083429325,,2017-12-31T00:00:00Z
5083429325,,2018-12-31T00:00:00Z
5083429325,,2019-12-31T00:00:00Z
5083429325,850021.423982837,2020-12-31T00:00:00Z
5083429471,,
5083429560,,2008-12-31T00:00:00Z
5083429560,,2009-12-31T00:00:00Z
