Instrument,Cost of Revenues - Total,Date
5081879292,6439001.86489232,2020-12-31T00:00:00Z
5081879299,,
5081879304,,
5081879309,,
5081879353,,
5081879441,,
5081879449,,
5081879455,0.0,2019-12-31T00:00:00Z
5081879455,0.0,2020-12-31T00:00:00Z
5081879460,,
5081879496,,
5081879530,,
5081879538,,
5081879551,,
5081879560,,
5081879575,,
5081879614,,
5081879637,,
5081879665,,
5081879666,,
5081879667,,
5081879668,,
5081879679,,
5081879683,,
5081879730,,
5081879747,,
5081879752,,
5081879755,12724782.433238,2019-12-31T00:00:00Z
5081879755,12986877.2218535,2020-12-31T00:00:00Z
5081879757,,
5081879784,,
5081879787,,
5081879815,,
5081879822,,
5081879824,,
5081879839,,
5081879883,,
5081879885,,
5081879901,,
5081879914,,
5081879926,,
5081879943,,
5081879945,,
5081879947,,
5081880063,,
5081880068,,
5081880182,,
5081880427,,
5081880452,4866671.09707506,2019-12-31T00:00:00Z
5081880452,5960438.17646162,2020-12-31T00:00:00Z
5081880479,,
5081880580,,
5081880619,,
5081880625,,
5081880727,,
5081880797,,
5081880800,17156066.5274069,2020-12-31T00:00:00Z
5081880830,,
5081880835,,
5081880850,,
5081880851,,
5081880852,,
5081880899,,
5081880986,,
5081881011,,
5081881014,213303.508270906,2019-12-31T00:00:00Z
5081881014,8125509.5546879,2020-12-31T00:00:00Z
5081881015,4153338.66805149,2017-12-31T00:00:00Z
5081881015,11519562.8843871,2018-12-31T00:00:00Z
5081881015,8557628.17452184,2019-12-31T00:00:00Z
5081881015,9519056.38926744,2020-12-31T00:00:00Z
5081881018,,
5081881023,112533354.252596,2019-12-31T00:00:00Z
5081881023,86342853.1946434,2020-12-31T00:00:00Z
5081881026,,
5081881040,,
5081881042,,
5081881053,,
5081881135,,
5081881252,,
5081881341,,
5081881354,51763758.9557033,2020-12-31T00:00:00Z
5081881474,,
5081881490,,
5081881520,,
5081881690,,
5081881708,,
5081881717,,
5081881772,,
5081881797,,
5081881804,,
5081881812,,
5081881823,,
5081881825,,
5081881830,,
5081881882,66434003.5273372,2020-12-31T00:00:00Z
5081881969,,
5081881979,15682393.170555,2020-12-31T00:00:00Z
5081882018,,
5081882073,,
5081882189,,
5081882317,,
5081882323,,
5081882330,,
5081882372,,
5081882427,,
5081882430,,
5081882433,,
5081882434,,
5081882437,,
5081882470,,
5081882497,,
5081882510,,
5081882559,,
5081882647,,
5081882648,,
5081882661,-6212170.3070784,2019-12-31T00:00:00Z
5081882661,-14265941.8666759,2020-12-31T00:00:00Z
5081882662,,
5081882670,,
5081882686,,
5081882739,,
5081882923,96298613.8677095,2020-12-31T00:00:00Z
5081882948,47572849.2913551,2020-12-31T00:00:00Z
5081883014,129573366.403166,2020-12-31T00:00:00Z
5081883140,,
5081883208,19688977.5417717,2020-12-31T00:00:00Z
5081883239,,
5081883262,24125725.3492775,2020-12-31T00:00:00Z
5081883263,,
5081883273,,
5081883329,,
5081883346,,
5081883347,,
5081883386,,
5081883393,,
5081883398,,
5081883405,,
5081883414,,
5081883417,,
5081883433,,
5081883436,,
5081883459,,
5081883468,,
5081883482,,
5081883620,40400924.2905021,2019-12-31T00:00:00Z
5081883620,38998318.9133075,2020-12-31T00:00:00Z
5081883749,,
5081883752,,
5081883757,14567696.3251489,2019-12-31T00:00:00Z
5081883757,15731353.9916741,2020-12-31T00:00:00Z
5081883822,,
5081883841,,
5081883848,,
5081883885,,
5081883889,,
5081883991,,
5081884024,,
5081884031,,
5081884033,,
5081884070,,
5081884140,,
5081884174,,
5081884186,,
5081884202,,
5081884215,,
5081884224,,
5081884240,23904137.7577912,2019-12-31T00:00:00Z
5081884240,26784490.4350791,2020-12-31T00:00:00Z
5081884263,90658892.2567548,2019-12-31T00:00:00Z
5081884263,52266693.3418783,2020-12-31T00:00:00Z
5081884395,,
5081884398,,
5081884416,,
5081884427,,
5081884428,,
5081884481,,
5081884513,,
5081884562,,
5081884565,,
5081884779,,
5081884781,,
5081884785,,
5081884850,,
5081884921,,
5081884922,,
5081884923,,
5081884933,,
5081884946,12054266.3840469,2019-12-31T00:00:00Z
5081884946,2635721.46104329,2020-12-31T00:00:00Z
5081884951,,
5081884960,,
5081884961,,
5081884970,,
5081885004,46984.3227653031,2019-12-31T00:00:00Z
