Instrument,Total Assets,Date,Total Fixed Assets - Net,Revenue from Business Activities - Total,Intangible Assets - Gross - Total,Full-Time Employees (Pvt),Salaries and Wages from CSR reporting,Revenue from Goods & Services (ASR),Operating Profit before Non-Recurring Income/Expense,Sales per Employee,Labor & Related Expenses - Total,"Employees Full-Time/Full-Time Equiv Period End (BUS,ASR)",Cost of Operating Revenue,Market Capitalization,International/Export Sales - Geographic Segment,Cost of Revenues - Total,Stock Based Compensation - Mean,Labor Expenses including Stock-Based Compensation in COGS,Intangible Assets - excluding Goodwill - Gross - Total (ASR)
5060884743,32117.8368781565,2017,,,,,,,,,,,,,,,,,
5060884743,30765.8156711625,2018,,,,,,,,,,,,,,,,,
5060884743,28320.5501872071,2019,,,,,,,,,,,,,,,,,
5060884756,30369.1652649285,2016,,,,,,,,,,,,,,,,,
5060884756,143640.671297129,2017,,,,,,,,,,,,,,,,,
5060884756,103350.720249564,2018,,,,,,,,,,,,,,,,,
5060884756,54923.5701634419,2019,,,,,,,,,,,,,,,,,
5060884756,102042.281387396,2020,,,,,,,,,,,,,,,,,
5060884758,156558.368376787,2016,,,,,,,,,,,,,,,,,
5060884758,136931.01090438,2017,,,,,,,,,,,,,,,,,
5060884758,162798.54803193,2018,,,,,,,,,,,,,,,,,
5060884758,416254.366298231,2019,,,,,,,,,,,,,,,,,
5060884769,53217.825048495,2006,,,,,,,,,,,,,,,,,
5060884769,60147.1296228755,2007,,,,,,,,,,,,,,,,,
5060884769,60041.5426119288,2008,,,,,,,,,,,,,,,,,
5060884769,64868.3359102102,2009,,,,,,,,,,,,,,,,,
5060884769,62802.983078055,2010,,,,,,,,,,,,,,,,,
5060884769,62885.6310679612,2011,,,,,,,,,,,,,,,,,
5060884769,60003.3116063919,2016,,,,,,,,,,,,,,,,,
5060884769,69414.88225909,2017,,,,,,,,,,,,,,,,,
5060884769,68992.0978988898,2018,,,,,,,,,,,,,,,,,
