Instrument,Labor & Related Expenses - Total,Date
5083702990,356666.482916668,2009
5083702990,408759.711919073,2010
5083702990,381683.919484931,2011
5083702990,303611.864511326,2012
5083702990,273052.632694226,2013
5083702990,117738.639763817,2014
5083702990,63027.5035526109,2015
5083703001,3230724.52039927,2010
5083703001,1414304.37349986,2011
5083703051,61637.4248187241,2009
5083703051,101207.60302513,2010
5083703051,76702.6021718483,2011
5083703051,108324.700668277,2012
5083703055,344781.152814755,2010
5083703055,244328.654177342,2011
5083703055,213758.37200261,2012
5083703088,107775.588405065,2009
5083703088,162770.837346754,2010
5083703186,200863.690200179,2011
5083703186,110390.572775404,2012
5083703220,721369.777351007,2018
5083703220,452954.517066448,2019
5083703282,297107.185028871,2017
5083703282,361466.491108697,2018
5083703349,1657715.62703009,2012
5083703349,1705241.82882733,2013
5083703385,301699.016040953,2018
5083703385,306805.471334577,2019
5083703394,216933.408248665,2009
5083703394,126937.60186527,2010
5083703394,143978.832800922,2011
5083703394,217832.077140588,2012
5083703394,158525.933823004,2013
5083703463,33067.4812950117,2009
5083703481,990271.134497525,2012
