Instrument,Organization Ultimate Parent,Ultimate Parent Id,Country ISO2 Code of Ultimate Parent Headquarters
5062234214,Zhoushan Haili Ocean Fishery Co Ltd,5062234214.0,CN
5062234239,Gissing Co Ltd,5063361536.0,HK
5062234349,Zhangzhou Rida Industrial & Trade Co Ltd,5062234349.0,CN
5062234378,EPE Co Ltd,5035421139.0,JP
5062234426,Yantai Haiyu Foodstuffs Co Ltd,5062234426.0,CN
5062234551,Shanghai Lianglong Oil Development Co Ltd,5062234551.0,CN
5062234562,Sichuan Zhitai Commerce & Trade CoLTD,5062234562.0,CN
5062234605,New Hope Liuhe Co Ltd,4295865441.0,CN
5062234636,Gaitianli Medicine Holding Group Co Ltd,5073669656.0,CN
5062234673,Shaanxi Xinlong Medicine Co Ltd,5062234673.0,CN
5062234703,Hng Chembio Pharmacy Co Ltd,5035548132.0,CN
5062234738,Heze Lanwang Property Co Ltd,5066564752.0,CN
5062234806,Shandong Tianyin Biotechnology Co Ltd,5062234806.0,CN
5062234822,Lingao Siyuan Industry Co Ltd,5082215457.0,CN
5062234834,Shaanxi Jiahui Food Co Ltd,5062234834.0,CN
5062234967,China Resources Pharmaceutical Group Ltd,5067509793.0,HK
5062234973,Liaoning Huajie Medicine Logistics CoLTD,5062234973.0,CN
5062234976,Guangdong Tongzhou Medicine CoLTD,5062234976.0,CN
5062234990,Sino-Kemmed Trading Co Ltd,5063362259.0,HK
5062235010,Genertec Universal Medical Group Co Ltd,5040951705.0,CN
5062235024,Fujian Quanan Medicine CoLTD,5062235024.0,CN
5062235109,Chuchang Investment Group Co Ltd,5034848118.0,CN
5062235114,Guangdong Zhongmu Agriculture Development CoLTD,5062235114.0,CN
5062235126,JDB China Drinks Co Ltd,5062235126.0,CN
5062235219,Shanghai Moushi Trading Co Ltd,5062235219.0,CN
5062235254,Jiangsu Wisun Food Co Ltd,5062235254.0,CN
5062235292,Hangzhou Wahaha Hongzhen Investment Co Ltd,5067516340.0,CN
5062235316,Zhejiang Xiangyang Fishing Port Group Co Ltd,5036775089.0,CN
5062235318,Jiangsu CP Lotus Supermarket Chain Store CoLTD,5062235318.0,CN
5062235327,Jiangsu Zenji Pharmaceuticals Co Ltd,5052139853.0,CN
5062235338,Zhejiang Qili Investment Co LTD,5083308299.0,CN
5062235367,Shenzhen Yiselle Garment Co Ltd,5062235367.0,CN
5062235411,China State Railway Group Co Ltd,5039880084.0,CN
5062235468,Ningbo Zhongtai Huayi Food Co Ltd,5079917286.0,CN
5062235580,"SHANDONG HUARUI GROUP CO., LTD.",5067516076.0,CN
5062235582,Rongcheng Marine Product Comprehensive Processing Factory,5062235582.0,CN
5062235632,Beijing Gengxiang Tea CoLTD,5062235632.0,CN
5062235637,Zhong Yu Hua Hui Building and Decoration Engineering Co Ltd,5062235637.0,CN
5062235640,ORIENSSPES PTE. LTD.,5082039940.0,SG
5062235641,Shanghai East Hope Enterprise Service Co Ltd,5001231662.0,CN
5062235642,Jiamusi Jintian Caring Pharmacy Franchises CoLTD,5062235642.0,CN
5062235644,China Gold Coin Inc,4298529617.0,CN
5062235666,New Hope Liuhe Co Ltd,4295865441.0,CN
5062235683,Shandong Huifeng Peanut Food Co Ltd,5062235683.0,CN
5062235879,Yanbian Tanjun Pharmaceutical Co Ltd,5079918533.0,CN
5062235882,Yunnan Changle Pharmaceutical CoLtd,5062235882.0,CN
5062235893,Dalian Jinhui Cast Steel Co Ltd,5079918557.0,CN
