Instrument,TRBC Business Sector Name,NAICS Subsector Name
5081874069,Personal & Household Products & Services,Chemical Manufacturing
5081874072,Food & Beverages,Food Manufacturing
5081874082,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874083,Food & Beverages,Food Manufacturing
5081874084,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874093,Food & Beverages,Food Manufacturing
5081874101,Food & Beverages,Animal Production and Aquaculture
5081874104,Applied Resources,Wood Product Manufacturing
5081874105,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874108,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5081874111,Food & Beverages,Animal Production and Aquaculture
5081874116,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5081874119,Food & Beverages,Food Manufacturing
5081874123,Retailers,"Merchant Wholesalers, Nondurable Goods"
5081874126,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5081874129,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5081874133,Food & Beverages,Food Manufacturing
5081874142,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874188,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874197,Industrial & Commercial Services,Administrative and Support Services
5081874293,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874300,Food & Drug Retailing,Food and Beverage Retailers
5081874309,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5081874310,Food & Drug Retailing,Food and Beverage Retailers
5081874311,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874313,Food & Beverages,Food Manufacturing
5081874320,Food & Beverages,Food Manufacturing
5081874406,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874410,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874416,Consumer Goods Conglomerates,Miscellaneous Manufacturing
5081874478,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874746,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5081874759,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5081874792,Food & Beverages,"Merchant Wholesalers, Nondurable Goods"
5081874795,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874796,Food & Beverages,Food Manufacturing
5081874820,Food & Beverages,Food and Beverage Retailers
5081874837,Food & Beverages,Food Manufacturing
5081874838,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874865,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874907,Food & Beverages,Food Manufacturing
5081874909,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874910,Food & Drug Retailing,"Merchant Wholesalers, Nondurable Goods"
5081874930,Personal & Household Products & Services,Chemical Manufacturing
5081874937,Real Estate,Heavy and Civil Engineering Construction
